Protein Complex,COGIDs,,,,,,,,,,,,,,,,,,,,,,,,,,,ECOLI Conservation Percent,ECOLI Protein IDs,MYCTU Conservation Percent,MYCTU Protein IDs,MYCLE Conservation Percent,MYCLE Protein IDs,BUCAI_APS Conservation Percent,BUCAI_APS Protein IDs,BUCAI_Cc Conservation Percent,BUCAI_Cc Protein IDs
yeaY,COG3065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yecN,COG3788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yecT,COG3755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yehW,COG1174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yehX,COG1125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yeiE,COG0583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yejA,COG4166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yejL,COG3082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ubiX,COG0163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yadG,COG1131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yadS,COG2860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ydbJ,COG3042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ydcO,COG3135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uvrY,COG2197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yddG,COG0697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ydeI,COG3111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ydeN,COG3119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ydgA,COG5339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ydhJ,COG1566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ydiO,COG1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ydiY,COG3137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ydjA,COG0778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yeaG,COG2766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG2893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yafV,COG0388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ybaB,COG0718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ybbJ,COG1585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ybbO,COG1028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ybbP,COG3127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ybdG,COG0668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uvrA,COG0178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uspG,COG0589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yebT,COG3008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yegP,COG3422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yhfA,COG1765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yhhL,COG3776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yhhT,COG0628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yhhW,COG1741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yhiD,COG1285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yhjA,COG1858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yhjD,COG1295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yhjG,COG2982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yciT,COG1349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uup,COG0488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uxaA,COG2721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG1904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yddA,COG4178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uxuA,COG1312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ydhF,COG4989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ydhP,COG2814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yeaD,COG0676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yebZ,COG1276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yegJ,COG3779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yfeO,COG0038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yghB,COG0586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yghD,COG3149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yghQ,COG2244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ygjQ,COG2949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ygjR,COG0673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yhfK,COG1289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yhgF,COG2183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yhgN,COG2095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yhjV,COG0814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ydjM,COG1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ydjX,COG0398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ydjZ,COG0398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yeaL,COG2707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yeaQ,COG2261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yebE,COG2979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yebS,COG2995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yegD,COG0443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yegH,COG0861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yegH,COG1253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yegW,COG2188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yegX,COG3757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yehR,COG4808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yehY,COG1174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yeiL,COG0664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yeiQ,COG0246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yfaL,COG3468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yfcA,COG0730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yfcC,COG1288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yfcE,COG0622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG1090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yfcS,COG3121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yfcU,COG3188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yfcZ,COG3691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yfdC,COG2116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yfdV,COG0679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yfeH,COG0385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yfeW,COG1680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eco,COG2837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yffB,COG1393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yfgD,COG1393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yfgM,COG2976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yfhR,COG1073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raiA,COG1544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yfiB,COG2885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yfiF,COG0566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yfiM,COG5544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yfjD,COG4536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ygbN,COG2610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ygcE,COG1070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ygcG,COG1512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ygdD,COG2363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ygdQ,COG0861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ygeR,COG0739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ygeW,COG0078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ygeY,COG0624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uhpT,COG2271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fic,COG1762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fic,COG0020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rne,COG0020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG1408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tam,COG0121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yafN,COG2161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yagU,COG3477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yaiI,COG1671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG1215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yaiP,COG1215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yajC,COG1862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yciK,COG1028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
usg,COG0136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uvrB,COG0556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ydaS,COG4197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ydcU,COG1176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yddW,COG1649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aer,COG0641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ydeT,COG3188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ydeU,COG3468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ydgD,COG3591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ydgJ,COG0673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ugpC,COG3839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uidB,COG2211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yadH,COG0842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uraA,COG2233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lon,COG0129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ybaN,COG2832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ybaT,COG0531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ybaV,COG1555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ybaY,COG3126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ybbY,COG2233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ybcI,COG1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ybcJ,COG2501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ybcL,COG1881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ybdR,COG1063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ybfF,COG0596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ybgE,COG3790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ybgQ,COG3188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ybhC,COG4677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ybhF,COG1131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG2828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ybhH,COG2828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ybhI,COG0471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ybhJ,COG1048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ybhL,COG0670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ybhM,COG0670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ybhN,COG0392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ybhP,COG3568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ybhR,COG0842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ybhS,COG0842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
der,COG0668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ybiR,COG0471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ybiT,COG0488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ybiX,COG3128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ybjG,COG0671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ybjI,COG0561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ybjL,COG2985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ybjX,COG2990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uhpA,COG2197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ybeT,COG0790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ybjQ,COG0393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ybjS,COG0451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ybjT,COG0702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ycaC,COG1335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ycaI,COG0658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ycaI,COG2333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ycaL,COG0501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ycaM,COG0531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG1944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ycaO,COG1944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ycaP,COG2323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ycaR,COG2835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ycbF,COG3121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ycbU,COG3539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ycbV,COG3539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yccT,COG3110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yccU,COG1832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yceA,COG1054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yceI,COG2353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yceK,COG5645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG2227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ubiG,COG2227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ugpQ,COG0584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ulaD,COG0269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lon,COG0269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ycbK,COG3108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yccA,COG0670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yccF,COG3304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yccM,COG0348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yccS,COG1289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yceH,COG3132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
udk,COG0572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yciF,COG3685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yciW,COG2128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yciW,COG4950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mhpA,COG0654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hrpB,COG1643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ispH,COG0761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metQ,COG1464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG1211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metH,COG0646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metH,COG1410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
miaA,COG0324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tag,COG0191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kch,COG1226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tag,COG1226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hslU,COG1220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fur,COG1104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fur,COG0822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iscU,COG0822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tag,COG4573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mlaA,COG2853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
def,COG0582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
macB,COG0577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
macB,COG1136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rdgB,COG0127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hslJ,COG3187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hslV,COG5405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ispG,COG0821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lpxB,COG0763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG1560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lpxL,COG1560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG1560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lpxM,COG1560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
malK,COG3839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tap,COG0840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fic,COG1401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mcrB,COG1401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lolA,COG2834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lolB,COG3017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lptA,COG1934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
malG,COG3833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
map,COG0024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mdtC,COG0841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mdtO,COG1289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lldD,COG1304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lolD,COG1136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lolE,COG4591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
loiP,COG0501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lpoA,COG3107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lptD,COG1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lpxA,COG1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nanR,COG2186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
napA,COG0243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
napB,COG3043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
napC,COG3005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
napG,COG1145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
napH,COG0348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
narI,COG2181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
narJ,COG2180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
narK,COG2223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
narP,COG2197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
narU,COG2223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
narV,COG2181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
narZ,COG5013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
malF,COG1175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
livF,COG0410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ycbZ,COG1067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lon,COG0466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG1560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lpxP,COG1560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lpxT,COG0671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maeA,COG0281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
macA,COG0845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
malE,COG2182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marC,COG2095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aceB,COG2225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mepA,COG3770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metB,COG0626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flu,COG2814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nepI,COG2814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metK,COG0192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metN,COG1135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mglA,COG1129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mglC,COG4211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cvrA,COG3263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
